Case Type,Date,Total Number Of Cases
Covid,2020-05-01,176
Covid,2020-05-02,145
Covid,2020-05-03,137
Covid,2020-05-04,146
Covid,2020-05-05,153
Covid,2020-05-06,157
Covid,2020-05-07,114
Covid,2020-05-08,133
Covid,2020-05-09,119
Covid,2020-05-10,148
Covid,2020-05-11,96
Covid,2020-05-12,78
Covid,2020-05-13,153
Covid,2020-05-14,115
Covid,2020-05-15,120
Covid,2020-05-16,171
Covid,2020-05-17,174
Covid,2020-05-18,167
Covid,2020-05-19,172
Covid,2020-05-20,186
Covid,2020-05-21,143
Covid,2020-05-22,129
Covid,2020-05-23,162
Covid,2020-05-24,123
Covid,2020-05-25,157
Covid,2020-05-26,110
Covid,2020-05-27,145
Covid,2020-05-28,159
Covid,2020-05-29,407
Covid,2020-05-30,181
Hospitalizations,2020-05-01,238
Hospitalizations,2020-05-02,208
Hospitalizations,2020-05-03,239
Hospitalizations,2020-05-04,244
Hospitalizations,2020-05-05,255
Hospitalizations,2020-05-06,256
Hospitalizations,2020-05-07,246
Hospitalizations,2020-05-08,231
Hospitalizations,2020-05-09,235
Hospitalizations,2020-05-10,233
Hospitalizations,2020-05-11,232
Hospitalizations,2020-05-12,232
Hospitalizations,2020-05-13,219
Hospitalizations,2020-05-14,207
Hospitalizations,2020-05-15,207
Hospitalizations,2020-05-16,198
Hospitalizations,2020-05-17,192
Hospitalizations,2020-05-18,188
Hospitalizations,2020-05-19,186
Hospitalizations,2020-05-20,187
Hospitalizations,2020-05-21,178
Hospitalizations,2020-05-22,175
Hospitalizations,2020-05-23,172
Hospitalizations,2020-05-24,165
Hospitalizations,2020-05-25,157
Hospitalizations,2020-05-26,158
Hospitalizations,2020-05-27,161
Hospitalizations,2020-05-28,152
Hospitalizations,2020-05-29,156
Hospitalizations,2020-05-30,161
Hospitalizations,2020-05-31,153
