Case Type,Date,Total Number Of Cases
Covid,2020-04-01,86
Covid,2020-04-02,108
Covid,2020-04-03,107
Covid,2020-04-04,117
Covid,2020-04-05,70
Covid,2020-04-06,108
Covid,2020-04-07,191
Covid,2020-04-08,148
Covid,2020-04-09,155
Covid,2020-04-10,126
Covid,2020-04-11,122
Covid,2020-04-12,153
Covid,2020-04-13,235
Covid,2020-04-14,196
Covid,2020-04-15,212
Covid,2020-04-16,277
Covid,2020-04-17,343
Covid,2020-04-18,162
Covid,2020-04-19,177
Covid,2020-04-20,285
Covid,2020-04-21,189
Covid,2020-04-22,213
Covid,2020-04-23,187
Covid,2020-04-24,174
Covid,2020-04-25,120
Covid,2020-04-26,103
Covid,2020-04-27,152
Covid,2020-04-28,158
Covid,2020-04-29,151
Hospitalizations,2020-04-02,58
Hospitalizations,2020-04-03,62
Hospitalizations,2020-04-04,77
Hospitalizations,2020-04-05,73
Hospitalizations,2020-04-06,90
Hospitalizations,2020-04-07,101
Hospitalizations,2020-04-08,100
Hospitalizations,2020-04-09,111
Hospitalizations,2020-04-10,131
Hospitalizations,2020-04-11,133
Hospitalizations,2020-04-12,146
Hospitalizations,2020-04-13,150
Hospitalizations,2020-04-14,163
Hospitalizations,2020-04-15,167
Hospitalizations,2020-04-16,179
Hospitalizations,2020-04-17,195
Hospitalizations,2020-04-18,205
Hospitalizations,2020-04-19,212
Hospitalizations,2020-04-20,212
Hospitalizations,2020-04-21,227
Hospitalizations,2020-04-22,218
Hospitalizations,2020-04-23,223
Hospitalizations,2020-04-24,228
Hospitalizations,2020-04-25,232
Hospitalizations,2020-04-26,235
Hospitalizations,2020-04-27,237
Hospitalizations,2020-04-28,254
Hospitalizations,2020-04-29,257
Hospitalizations,2020-04-30,243
