Case Type,Date,Total Number Of Cases
Covid,2020-06-01,155
Covid,2020-06-02,156
Covid,2020-06-03,171
Covid,2020-06-04,122
Covid,2020-06-05,120
Covid,2020-06-06,124
Covid,2020-06-07,88
Covid,2020-06-08,88
Covid,2020-06-09,79
Covid,2020-06-10,118
Covid,2020-06-11,81
Covid,2020-06-12,77
Covid,2020-06-13,85
Covid,2020-06-14,62
Covid,2020-06-15,63
Covid,2020-06-16,82
Covid,2020-06-17,71
Covid,2020-06-18,53
Covid,2020-06-19,63
Covid,2020-06-20,59
Covid,2020-06-21,43
Covid,2020-06-22,52
Covid,2020-06-23,53
Covid,2020-06-24,62
Covid,2020-06-25,43
Covid,2020-06-26,75
Covid,2020-06-27,54
Covid,2020-06-28,46
Covid,2020-06-29,44
Hospitalizations,2020-06-01,154
Hospitalizations,2020-06-02,147
Hospitalizations,2020-06-03,147
Hospitalizations,2020-06-04,142
Hospitalizations,2020-06-05,138
Hospitalizations,2020-06-06,130
Hospitalizations,2020-06-07,113
Hospitalizations,2020-06-08,121
Hospitalizations,2020-06-09,121
Hospitalizations,2020-06-10,119
Hospitalizations,2020-06-11,110
Hospitalizations,2020-06-12,112
Hospitalizations,2020-06-13,104
Hospitalizations,2020-06-14,102
Hospitalizations,2020-06-15,102
Hospitalizations,2020-06-16,99
Hospitalizations,2020-06-17,93
Hospitalizations,2020-06-18,82
Hospitalizations,2020-06-19,82
Hospitalizations,2020-06-20,80
Hospitalizations,2020-06-21,66
Hospitalizations,2020-06-22,61
Hospitalizations,2020-06-23,62
Hospitalizations,2020-06-24,57
Hospitalizations,2020-06-25,60
Hospitalizations,2020-06-26,57
Hospitalizations,2020-06-27,54
Hospitalizations,2020-06-28,48
Hospitalizations,2020-06-29,49
Hospitalizations,2020-06-30,47
